                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2256,                 2.2393,                 2.0934,                 1.4915,                0.26221,                0.50919,                0.35222,                0.24156,                0.25242,                0.49522,                0.34134,                0.24618,                 1.2776,                 2.1726,                 2.0372,                 1.7353,               0.007822,               0.007822,               0.007822
                     24,                 1.2313,                 2.2571,                 2.0858,                 1.4989,                0.33715,                0.54716,                0.41787,                 0.2704,                0.33236,                0.53242,                0.39903,                0.25126,                 1.3274,                  2.227,                 1.9589,                 1.7854,               0.007723,               0.007723,               0.007723
                     25,                 1.2282,                  2.254,                 2.1131,                 1.5174,                0.33373,                0.50597,                 0.4044,                0.26193,                0.33992,                0.51785,                0.40094,                0.25708,                 1.3798,                 2.4704,                 1.9071,                 1.8502,               0.007624,               0.007624,               0.007624
                     26,                 1.2147,                 2.2303,                 2.0714,                 1.5198,                0.26916,                0.42783,                0.34497,                0.24095,                0.27421,                0.42692,                 0.3426,                0.24678,                 1.3797,                 2.2839,                 2.0792,                 1.8192,               0.007525,               0.007525,               0.007525
                     27,                 1.2073,                 2.1763,                 2.0362,                 1.5074,                0.36701,                0.46813,                0.42226,                0.29861,                0.36701,                0.46813,                0.41554,                0.29407,                 1.2416,                   2.13,                   1.88,                 1.7066,               0.007426,               0.007426,               0.007426
                     28,                 1.1806,                 2.2238,                 2.0355,                 1.4946,                0.35049,                0.52614,                0.42831,                0.30001,                0.34959,                0.52101,                  0.423,                0.30241,                 1.2371,                 2.0284,                 1.8257,                 1.6942,               0.007327,               0.007327,               0.007327
                     29,                 1.1687,                 2.1557,                 2.0072,                 1.4823,                0.38827,                0.55798,                0.45614,                0.31224,                0.38218,                0.54698,                0.44679,                0.31091,                 1.1945,                 1.9449,                 1.7867,                 1.6617,               0.007228,               0.007228,               0.007228
                     30,                 1.1892,                 2.1811,                 2.0005,                 1.4818,                0.44564,                0.56328,                0.45596,                0.31834,                0.44445,                0.54904,                0.44254,                0.31683,                 1.2564,                 2.0332,                 1.7325,                 1.7202,               0.007129,               0.007129,               0.007129
                     31,                 1.1743,                 2.1588,                 2.0117,                 1.4797,                0.44493,                0.56625,                0.47214,                0.32238,                0.42565,                0.54782,                0.45193,                0.31133,                 1.1608,                 2.0107,                 1.7953,                 1.6519,                0.00703,                0.00703,                0.00703
                     32,                 1.1612,                 2.1425,                 1.9883,                 1.4749,                0.51572,                0.42717,                0.43297,                0.30194,                0.50826,                0.41864,                0.41947,                 0.2995,                 1.2024,                 1.9806,                 1.7968,                 1.6635,               0.006931,               0.006931,               0.006931
                     33,                  1.152,                 2.1459,                 1.9722,                 1.4759,                 0.3714,                0.59941,                0.46664,                0.33549,                0.36041,                0.58082,                0.44894,                0.32635,                 1.1406,                 1.9364,                 1.7153,                 1.6074,               0.006832,               0.006832,               0.006832
                     34,                 1.1423,                 2.1305,                 1.9149,                 1.4587,                0.46336,                0.53768,                0.46155,                0.32334,                0.45791,                0.52793,                0.44861,                0.30613,                 1.2018,                 2.0186,                 1.7631,                 1.6912,               0.006733,               0.006733,               0.006733
                     35,                 1.1773,                 2.2036,                 1.9226,                 1.4833,                0.38103,                0.54828,                0.43383,                0.30752,                0.37694,                0.53959,                0.42383,                0.30559,                 1.2322,                 1.9828,                 1.8813,                 1.6978,               0.006634,               0.006634,               0.006634
                     36,                 1.1329,                 2.1032,                 1.9059,                 1.4605,                0.43416,                0.50362,                 0.4725,                0.33007,                 0.4317,                0.50561,                0.46096,                0.32758,                 1.1407,                 1.9173,                 1.7558,                  1.621,               0.006535,               0.006535,               0.006535
                     37,                 1.1414,                 2.1077,                 1.9032,                 1.4551,                0.39236,                0.54914,                  0.446,                0.32315,                0.39035,                0.54354,                0.43594,                0.31231,                   1.24,                 2.0918,                 1.7382,                 1.6858,               0.006436,               0.006436,               0.006436
                     38,                  1.144,                 2.1064,                 1.8716,                 1.4568,                0.43585,                0.49779,                0.50494,                0.35102,                0.35651,                0.52818,                0.48251,                0.34914,                  1.179,                  1.912,                 1.6785,                 1.6283,               0.006337,               0.006337,               0.006337
                     39,                 1.1179,                 2.0777,                 1.8745,                 1.4426,                0.44757,                0.54235,                0.49712,                0.35154,                 0.4412,                0.53407,                0.48396,                0.34766,                  1.172,                 2.0137,                 1.6623,                 1.6506,               0.006238,               0.006238,               0.006238
                     40,                  1.134,                 2.1005,                 1.8882,                 1.4567,                0.43936,                0.55199,                0.49792,                0.35176,                0.44093,                0.54738,                 0.4835,                0.35249,                 1.1652,                 1.8957,                 1.7512,                 1.6661,               0.006139,               0.006139,               0.006139
                     41,                 1.1432,                 2.1322,                 1.9332,                 1.4534,                 0.4398,                0.51185,                0.49785,                0.35069,                0.43148,                0.50386,                0.48706,                0.35855,                 1.1439,                 1.9194,                 1.6999,                 1.6244,                0.00604,                0.00604,                0.00604
                     42,                 1.1235,                 2.0729,                 1.8761,                 1.4401,                0.45154,                0.57321,                0.54732,                0.38812,                0.43313,                0.58463,                0.52616,                0.37434,                 1.1309,                 1.8941,                 1.5566,                  1.583,               0.005941,               0.005941,               0.005941
                     43,                 1.1418,                 2.1312,                 1.8885,                 1.4498,                0.58288,                0.46196,                0.51143,                0.34321,                0.55801,                0.44455,                0.48798,                0.33657,                 1.3171,                 2.0552,                 1.7032,                 1.7654,               0.005842,               0.005842,               0.005842
                     44,                 1.1339,                 2.0875,                 1.8714,                 1.4546,                0.43798,                0.47531,                 0.5074,                0.37012,                0.43473,                 0.4707,                0.49706,                0.34988,                 1.1969,                 2.0149,                 1.8161,                 1.6593,               0.005743,               0.005743,               0.005743
                     45,                 1.1188,                 2.0614,                 1.8245,                 1.4466,                0.45012,                0.51896,                0.47428,                0.33752,                0.42794,                0.51194,                 0.4599,                0.33886,                 1.1207,                 1.8641,                  1.715,                 1.5849,               0.005644,               0.005644,               0.005644
                     46,                  1.114,                  2.081,                 1.8324,                 1.4378,                0.43021,                0.51218,                 0.5059,                0.35887,                0.41669,                0.49806,                0.48822,                0.35215,                 1.1476,                 1.9623,                 1.6994,                 1.6176,               0.005545,               0.005545,               0.005545
                     47,                 1.1128,                 2.0473,                  1.821,                 1.4387,                0.45739,                0.55365,                0.51676,                0.36765,                 0.4464,                 0.5445,                0.49492,                0.35815,                 1.1134,                 1.8717,                 1.6669,                 1.5584,               0.005446,               0.005446,               0.005446
                     48,                 1.0859,                 2.0494,                 1.8231,                 1.4164,                0.38394,                0.57655,                0.51093,                0.36701,                0.44855,                0.49219,                0.49812,                0.36032,                 1.1141,                 1.8643,                 1.5808,                 1.5841,               0.005347,               0.005347,               0.005347
                     49,                 1.1078,                 2.0084,                 1.8008,                  1.438,                0.43045,                0.55039,                0.50067,                0.35179,                0.42648,                0.53265,                0.48907,                 0.3508,                 1.1743,                 1.9066,                 1.6736,                 1.6406,               0.005248,               0.005248,               0.005248
                     50,                 1.1047,                 2.0276,                 1.8354,                 1.4423,                0.42243,                 0.5174,                0.50189,                0.35946,                0.41661,                0.50707,                0.49176,                0.35455,                 1.1559,                 1.9405,                 1.6702,                 1.6333,               0.005149,               0.005149,               0.005149
                     51,                 1.0786,                 1.9836,                 1.7845,                  1.409,                0.48753,                0.53835,                0.52311,                0.38077,                0.47267,                0.52493,                0.50598,                0.36655,                 1.1366,                 1.9126,                   1.63,                 1.5927,                0.00505,                0.00505,                0.00505
                     52,                 1.0846,                 2.0131,                 1.7541,                  1.429,                0.49914,                0.50368,                 0.4984,                0.36523,                0.48707,                0.49728,                0.48039,                0.35651,                 1.0989,                 1.8769,                 1.5753,                 1.5753,               0.004951,               0.004951,               0.004951
                     53,                 1.0815,                 2.0313,                   1.73,                 1.4146,                0.58943,                0.47256,                0.52206,                 0.3661,                0.58385,                0.46795,                0.50392,                0.35774,                 1.1554,                 1.9216,                 1.6696,                 1.6138,               0.004852,               0.004852,               0.004852
                     54,                 1.0716,                 2.0375,                 1.7592,                 1.4132,                0.54884,                0.47865,                 0.5205,                0.37468,                0.52785,                0.47864,                0.50657,                0.36026,                 1.1873,                 1.9501,                 1.6176,                 1.6266,               0.004753,               0.004753,               0.004753
                     55,                 1.0621,                  1.982,                 1.7401,                 1.4071,                0.53028,                0.52617,                0.55333,                0.39562,                0.47514,                0.55457,                0.53005,                0.37937,                 1.0843,                 1.9366,                 1.5712,                 1.5854,               0.004654,               0.004654,               0.004654
                     56,                 1.0888,                 2.0054,                 1.7258,                 1.4345,                0.46323,                0.56408,                0.54276,                0.38651,                0.45207,                0.49839,                 0.5085,                0.37918,                 1.1239,                 1.8955,                 1.5862,                  1.596,               0.004555,               0.004555,               0.004555
                     57,                 1.0796,                 1.9792,                 1.7305,                 1.4138,                0.50724,                0.54128,                0.54237,                0.39573,                0.49448,                0.54865,                0.53618,                0.38924,                 1.0914,                 1.8537,                 1.5018,                 1.5525,               0.004456,               0.004456,               0.004456
                     58,                 1.0469,                 1.9611,                 1.7145,                 1.3977,                0.38979,                0.48229,                0.46736,                0.34412,                0.50791,                0.40701,                0.45529,                0.33332,                 1.1931,                 1.9855,                 1.7092,                 1.6436,               0.004357,               0.004357,               0.004357
                     59,                   1.06,                 1.9842,                 1.7183,                 1.4002,                 0.6036,                0.45875,                0.55025,                 0.3999,                0.60886,                0.45387,                0.54192,                 0.3951,                 1.0974,                 1.8476,                 1.5716,                 1.5593,               0.004258,               0.004258,               0.004258
                     60,                 1.0379,                 2.0092,                 1.7145,                  1.376,                0.50709,                0.52215,                0.54647,                 0.4035,                0.49186,                0.50189,                0.53906,                0.40081,                 1.1157,                 1.8531,                 1.5731,                 1.5903,               0.004159,               0.004159,               0.004159
                     61,                  1.032,                 1.9329,                 1.6948,                 1.3795,                0.50919,                 0.5354,                0.53787,                0.39718,                0.50383,                 0.5329,                0.52906,                0.38544,                 1.1049,                 1.8474,                 1.5487,                 1.5769,                0.00406,                0.00406,                0.00406
                     62,                 1.0326,                 2.0184,                 1.6958,                 1.3629,                  0.522,                0.56708,                0.54788,                0.38748,                0.48134,                0.55006,                0.52505,                0.38125,                 1.1201,                 1.8356,                 1.5607,                 1.5787,               0.003961,               0.003961,               0.003961
                     63,                 1.0597,                 1.9903,                 1.6825,                 1.3938,                0.46093,                0.51789,                0.53143,                0.38819,                0.45233,                 0.5126,                0.51855,                0.36875,                 1.1099,                 1.8544,                 1.6219,                 1.5666,               0.003862,               0.003862,               0.003862
                     64,                  1.039,                 1.9452,                 1.6826,                 1.3855,                0.49778,                0.54305,                0.52378,                0.37558,                0.49257,                0.52884,                0.51411,                0.36664,                 1.1551,                 1.9159,                  1.618,                 1.6347,               0.003763,               0.003763,               0.003763
                     65,                 1.0547,                 1.9875,                 1.6825,                 1.3911,                0.48731,                 0.5666,                0.55579,                0.40057,                  0.484,                0.56199,                0.54895,                0.40518,                 1.1226,                 1.8531,                 1.5127,                 1.5736,               0.003664,               0.003664,               0.003664
                     66,                 1.0291,                 1.9556,                 1.6443,                 1.3767,                0.48482,                0.58284,                0.55034,                0.40107,                0.48482,                0.58284,                 0.5429,                0.40273,                 1.1349,                 1.8713,                 1.5217,                 1.6002,               0.003565,               0.003565,               0.003565
                     67,                 1.0265,                 1.9428,                 1.6342,                 1.3739,                0.53903,                0.50492,                0.53916,                0.39558,                0.51663,                0.51481,                0.52553,                0.39632,                 1.0995,                 1.8461,                 1.5367,                 1.5733,               0.003466,               0.003466,               0.003466
                     68,                 1.0128,                 1.9236,                 1.5984,                 1.3689,                0.56368,                0.54257,                0.54006,                0.39315,                 0.5354,                0.52881,                0.52702,                0.38523,                 1.0996,                 1.8323,                 1.5243,                 1.5645,               0.003367,               0.003367,               0.003367
                     69,                 1.0327,                 1.9584,                 1.6117,                 1.3799,                0.56736,                0.51452,                0.55328,                0.40601,                0.56017,                 0.5053,                0.54758,                0.39868,                 1.1052,                 1.8375,                 1.4877,                 1.5787,               0.003268,               0.003268,               0.003268
                     70,                 1.0127,                 1.9212,                 1.6218,                 1.3577,                0.53959,                0.46895,                0.52363,                0.38716,                0.51514,                0.45433,                0.51006,                0.37902,                 1.1483,                 1.9204,                 1.6151,                  1.623,               0.003169,               0.003169,               0.003169
                     71,                0.99566,                 1.9003,                 1.6095,                  1.355,                0.57002,                0.54911,                0.54659,                0.39418,                 0.5474,                0.53231,                0.53197,                0.39289,                 1.1373,                 1.8513,                 1.5526,                 1.5969,                0.00307,                0.00307,                0.00307
                     72,                 1.0199,                 1.9006,                  1.625,                  1.372,                0.54321,                0.54604,                0.54503,                0.39946,                0.53282,                0.53168,                0.53379,                0.38517,                 1.0986,                 1.8586,                 1.4784,                 1.5606,               0.002971,               0.002971,               0.002971
                     73,                 1.0026,                 1.9288,                 1.5961,                 1.3492,                0.52405,                0.52821,                0.54711,                0.40452,                 0.5259,                0.52081,                 0.5369,                0.39693,                 1.0846,                 1.8447,                 1.5013,                  1.555,               0.002872,               0.002872,               0.002872
                     74,                   1.01,                 1.9104,                 1.5698,                 1.3583,                0.53004,                0.57327,                0.56587,                 0.4153,                0.52146,                0.56075,                0.55531,                0.40197,                 1.0897,                 1.8289,                 1.4565,                 1.5824,               0.002773,               0.002773,               0.002773
                     75,                 1.0042,                 1.8907,                 1.5715,                  1.352,                0.65014,                0.48655,                0.57271,                 0.4151,                0.62635,                0.47063,                0.55502,                0.40368,                  1.092,                 1.8306,                 1.4808,                 1.5689,               0.002674,               0.002674,               0.002674
                     76,                0.97506,                 1.8796,                 1.5647,                 1.3523,                 0.5149,                0.50876,                 0.5455,                0.39334,                0.50848,                0.50215,                0.52967,                0.38617,                 1.1497,                 1.9516,                 1.6472,                  1.617,               0.002575,               0.002575,               0.002575
                     77,                 1.0004,                 1.9003,                 1.5852,                 1.3494,                0.63565,                0.44332,                0.54215,                0.39507,                0.61706,                0.42609,                0.51928,                0.38621,                 1.0916,                 1.8195,                  1.562,                 1.5755,               0.002476,               0.002476,               0.002476
                     78,                0.99457,                 1.8761,                 1.5539,                 1.3441,                0.53407,                0.53379,                0.57334,                0.42777,                0.52461,                0.52737,                0.55893,                0.41092,                 1.0864,                 1.8463,                 1.4466,                 1.5566,               0.002377,               0.002377,               0.002377
                     79,                 0.9692,                 1.8176,                 1.5216,                 1.3362,                0.54376,                0.52928,                0.56062,                0.41291,                0.54001,                0.52468,                0.55253,                0.39459,                 1.0789,                 1.8304,                 1.4632,                 1.5431,               0.002278,               0.002278,               0.002278
                     80,                0.97943,                 1.8708,                 1.5232,                 1.3576,                 0.5005,                0.61095,                0.55872,                0.41075,                0.49253,                0.60818,                0.55399,                0.40235,                 1.0644,                 1.8304,                 1.4491,                 1.5404,               0.002179,               0.002179,               0.002179
                     81,                0.95794,                 1.8629,                 1.5241,                 1.3285,                0.52412,                0.53278,                0.56116,                0.39409,                0.45395,                0.55879,                0.54303,                0.39391,                 1.1372,                 1.8257,                 1.5188,                 1.6048,                0.00208,                0.00208,                0.00208
                     82,                0.93846,                  1.786,                 1.5025,                 1.3029,                0.55528,                0.49061,                  0.561,                0.41252,                0.55154,                0.48619,                0.55174,                0.40451,                 1.0612,                 1.8083,                 1.5091,                 1.5502,               0.001981,               0.001981,               0.001981
                     83,                0.97386,                 1.8479,                 1.5643,                 1.3496,                0.56405,                0.52391,                 0.5623,                0.41518,                0.57808,                0.51602,                 0.5571,                0.39927,                 1.0742,                 1.8596,                 1.4521,                 1.5593,               0.001882,               0.001882,               0.001882
                     84,                0.94438,                 1.7863,                 1.5036,                 1.3141,                0.55997,                0.54178,                 0.5642,                0.41435,                 0.5462,                0.53257,                 0.5525,                0.39887,                 1.0605,                 1.8309,                 1.4626,                 1.5472,               0.001783,               0.001783,               0.001783
                     85,                0.96867,                 1.8625,                 1.5158,                 1.3388,                0.52323,                0.57443,                0.56827,                0.41252,                0.51906,                0.60014,                0.56598,                0.39926,                 1.0875,                 1.8472,                 1.4576,                 1.5509,               0.001684,               0.001684,               0.001684
                     86,                0.94728,                 1.8405,                 1.5079,                 1.3262,                0.55106,                0.60224,                 0.5792,                0.42097,                0.54362,                0.59476,                0.56714,                0.40987,                 1.0409,                 1.8042,                 1.4103,                 1.5243,               0.001585,               0.001585,               0.001585
                     87,                0.94568,                 1.8384,                 1.4829,                 1.3213,                0.55009,                0.56527,                0.57286,                0.41455,                0.53608,                0.55284,                0.55975,                0.39914,                 1.0862,                 1.8519,                 1.4024,                  1.559,               0.001486,               0.001486,               0.001486
                     88,                0.94085,                 1.8068,                 1.4794,                 1.3212,                0.60303,                0.49187,                0.54631,                0.39859,                0.59561,                 0.4825,                0.53878,                 0.3791,                 1.0702,                  1.854,                 1.4863,                 1.5484,               0.001387,               0.001387,               0.001387
                     89,                0.96269,                 1.8444,                 1.5037,                 1.3433,                0.54226,                0.58478,                 0.5571,                0.41244,                0.54367,                0.58557,                0.55558,                0.40126,                 1.0514,                  1.839,                 1.4416,                 1.5314,               0.001288,               0.001288,               0.001288
                     90,                0.95088,                 1.8326,                 1.4828,                 1.3214,                0.54644,                0.56852,                0.56056,                0.41419,                0.54918,                0.56867,                 0.5607,                0.40128,                 1.0564,                 1.8213,                 1.4125,                 1.5421,               0.001189,               0.001189,               0.001189
                     91,                0.93827,                 1.7956,                 1.4813,                 1.3136,                 0.5827,                 0.5625,                0.56346,                0.41141,                0.58204,                0.54965,                0.56357,                0.40243,                 1.0561,                 1.8205,                  1.408,                 1.5314,                0.00109,                0.00109,                0.00109
                     92,                0.95446,                 1.8342,                 1.4531,                 1.3254,                0.58283,                0.57339,                0.57402,                0.42407,                0.63341,                 0.5392,                0.56992,                0.40809,                 1.0728,                 1.8138,                 1.3897,                 1.5342,               0.000991,               0.000991,               0.000991
                     93,                 0.9204,                 1.7818,                 1.4421,                 1.2962,                0.55202,                0.52861,                0.54523,                0.40306,                0.54885,                0.52487,                0.54185,                0.39321,                  1.057,                 1.7848,                 1.4794,                  1.529,               0.000892,               0.000892,               0.000892
                     94,                0.92557,                 1.7909,                 1.4326,                 1.3055,                0.50305,                0.61282,                 0.5565,                0.40792,                0.50479,                0.58027,                0.55381,                0.39833,                 1.0597,                 1.8067,                 1.4294,                 1.5287,               0.000793,               0.000793,               0.000793
                     95,                0.93143,                 1.8517,                 1.4506,                 1.3153,                0.51858,                0.62027,                0.55975,                0.41014,                0.51883,                0.62042,                0.55987,                0.40363,                 1.0746,                 1.8196,                 1.4473,                 1.5359,               0.000694,               0.000694,               0.000694
                     96,                0.93389,                 1.8072,                 1.4058,                 1.3073,                0.58445,                0.48779,                0.55631,                0.41212,                0.57265,                0.48054,                0.54361,                 0.3954,                 1.0652,                 1.8107,                 1.4458,                   1.54,               0.000595,               0.000595,               0.000595
                     97,                0.92141,                  1.814,                 1.4581,                 1.2982,                0.52137,                0.60889,                0.56984,                0.41105,                 0.5134,                0.59787,                0.56048,                0.39954,                 1.0691,                 1.8423,                 1.4212,                 1.5395,               0.000496,               0.000496,               0.000496
                     98,                0.93491,                 1.8323,                 1.4135,                 1.3148,                0.50172,                 0.6319,                0.55941,                0.40299,                0.50106,                0.61383,                0.55881,                0.39551,                 1.0744,                 1.8196,                 1.4158,                 1.5434,               0.000397,               0.000397,               0.000397
                     99,                0.92123,                 1.7919,                 1.4256,                 1.3133,                0.56995,                0.56416,                0.56074,                0.40931,                0.56459,                0.55467,                0.55845,                0.40125,                 1.0584,                  1.806,                 1.4061,                 1.5331,               0.000298,               0.000298,               0.000298
