                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3463,                 2.3901,                 2.2642,                 1.9361,                0.37358,                0.45659,                0.32177,                0.18486,                0.37321,                0.46544,                0.31581,                0.21211,                 1.5721,                 2.2216,                 2.3501,                 2.1494,               0.007822,               0.007822,               0.007822
                     24,                 1.3344,                 2.4013,                 2.2526,                 1.8997,                0.69981,                0.31852,                0.36438,                0.23004,                0.59518,                0.34257,                0.34828,                0.23985,                 1.4787,                 2.3436,                 2.1621,                 2.0797,               0.007723,               0.007723,               0.007723
                     25,                 1.3214,                 2.4067,                 2.2967,                 1.8737,                0.32635,                0.53118,                0.36526,                0.22558,                0.32607,                0.51939,                0.35397,                0.23044,                 1.5008,                 2.3018,                 2.1757,                 2.1005,               0.007624,               0.007624,               0.007624
                     26,                 1.3662,                  2.384,                 2.2718,                 1.9372,                0.35165,                0.45995,                 0.3497,                0.21725,                0.34483,                0.50121,                0.34769,                0.23982,                 1.5366,                 2.1155,                 2.1814,                 2.1677,               0.007525,               0.007525,               0.007525
                     27,                  1.314,                 2.3213,                 2.2556,                 1.8833,                0.27064,                0.52644,                0.38067,                0.22701,                0.26684,                0.51314,                0.36035,                0.24492,                  1.477,                 2.2216,                 2.1952,                 2.0849,               0.007426,               0.007426,               0.007426
                     28,                  1.327,                 2.3542,                 2.2318,                  1.879,                 0.2607,                0.50257,                0.36971,                0.23126,                 0.2619,                0.49749,                0.36588,                0.24853,                 1.4948,                 2.1292,                 2.0605,                  2.046,               0.007327,               0.007327,               0.007327
                     29,                  1.293,                 2.2966,                  2.227,                 1.8624,                0.42178,                0.47656,                0.35414,                0.23155,                0.41168,                0.45798,                0.34295,                0.23519,                 1.4678,                 2.3493,                 2.1545,                 2.0584,               0.007228,               0.007228,               0.007228
                     30,                 1.3015,                  2.338,                 2.1984,                 1.8602,                0.27802,                 0.5197,                0.39077,                0.25024,                 0.2766,                0.51226,                0.38374,                0.27002,                 1.4389,                 2.1182,                 2.0559,                 1.9955,               0.007129,               0.007129,               0.007129
                     31,                  1.292,                 2.3161,                 2.2139,                 1.8651,                0.40022,                0.44731,                0.38567,                0.24272,                0.57499,                0.36763,                 0.3779,                 0.2685,                 1.5012,                 2.1415,                 2.0701,                 2.1412,                0.00703,                0.00703,                0.00703
                     32,                  1.301,                 2.2842,                  2.185,                 1.8739,                0.38742,                 0.4834,                 0.4061,                0.25237,                0.37167,                0.46692,                0.37639,                0.25567,                 1.4475,                  2.256,                 2.0329,                 2.0186,               0.006931,               0.006931,               0.006931
                     33,                 1.2746,                  2.276,                 2.1407,                 1.8421,                0.42522,                0.46619,                0.41626,                0.26374,                0.41671,                0.44908,                0.38657,                0.27137,                 1.3799,                 2.1432,                 2.0272,                 1.9735,               0.006832,               0.006832,               0.006832
                     34,                 1.2714,                  2.278,                 2.0935,                 1.8267,                0.38387,                0.49767,                0.37566,                0.24264,                0.35231,                0.47026,                0.34079,                0.25241,                 1.4224,                 2.1267,                 2.0861,                 2.0291,               0.006733,               0.006733,               0.006733
